GOLD
4900

LEVELS
1,1
2,1
3,1
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1

HISTORY
1766504589033,150,VICTORY
1766504589039,150,VICTORY
1766504589040,150,VICTORY
1766504589041,150,VICTORY
1766504589041,150,VICTORY
1766504589041,150,VICTORY
1766504589042,150,VICTORY
1766504589042,150,VICTORY
1766504589043,150,VICTORY
1766504589043,150,VICTORY
1766504589044,150,VICTORY
1766504589044,150,VICTORY
1766504589045,150,VICTORY
1766504589045,150,VICTORY
1766504589045,150,VICTORY
1766504589046,150,VICTORY
1766513410669,150,VICTORY
1766513410678,150,VICTORY
1766513410679,150,VICTORY
1766513410680,150,VICTORY
1766513410681,150,VICTORY
1766513410682,150,VICTORY
1766513410683,150,VICTORY
1766513410684,150,VICTORY
1766513410685,150,VICTORY
1766513410686,150,VICTORY
1766513410686,150,VICTORY
1766513410687,150,VICTORY
1766513410688,150,VICTORY
1766513410688,150,VICTORY
1766513410689,150,VICTORY
1766513410691,150,VICTORY
1766514396157,150,VICTORY
1766514396168,150,VICTORY
1766514396169,150,VICTORY
1766514396171,150,VICTORY
1766514396172,150,VICTORY
1766514396174,150,VICTORY
1766514396175,150,VICTORY
1766514396176,150,VICTORY
1766514396176,150,VICTORY
1766514396177,150,VICTORY
1766514396177,150,VICTORY
1766514396178,150,VICTORY
1766514396178,150,VICTORY
1766514396179,150,VICTORY
1766514396180,150,VICTORY
1766514396180,150,VICTORY
